           0           0   6554.04395       0.00000000       0.00000000    
           1           1   6554.04395       0.00000000       0.00000000    
           2        5000   6554.03027       0.00000000       0.00000000    
           3       10000   6554.04785       0.00000000       0.00000000    
           4       15000   6554.02686       0.00000000       0.00000000    
           5       20000   6554.02930       0.00000000       0.00000000    
           6       25000   6554.04688       0.00000000       0.00000000    
           7       30000   6554.04199       0.00000000       0.00000000    
           8       35000   6554.02246       0.00000000       0.00000000    
           9       40000   6554.01367       0.00000000       0.00000000    
          10       45000   6554.02295       0.00000000       0.00000000    
          11       50000   6554.01074       0.00000000       0.00000000    
